round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss_flower,train_loss_weighted,algorithm,mu,seed,local_epochs
80,1.3273838600394494,0.7666999002991027,0.5046050031998509,0.5221844980613951,1.3273838600394494,0.021527435633131756,fedprox,0.01,42,20
81,1.3189502615752748,0.7647058823529411,0.48884378907798115,0.5033801542167978,1.3189502615752748,0.022089880869751322,fedprox,0.01,42,20
82,1.3491515422152618,0.7666999002991027,0.4984739019867826,0.5175999566148087,1.3491515422152618,0.011416119104113727,fedprox,0.01,42,20
83,1.333088862040226,0.7666999002991027,0.49971659667210017,0.5190321580798376,1.333088862040226,0.009212547371361969,fedprox,0.01,42,20
84,1.349798623966434,0.765702891326022,0.49615989639408836,0.5131682299908655,1.349798623966434,0.010379661949307587,fedprox,0.01,42,20
85,1.3641883626892226,0.7647058823529411,0.4854075340023818,0.4910224259807152,1.3641883626892226,0.014915592945362337,fedprox,0.01,42,20
86,1.3551356145891094,0.7627118644067796,0.4715710234445597,0.4829241248999547,1.3551356145891094,0.014945120317746925,fedprox,0.01,42,20
87,1.367085798846879,0.7627118644067796,0.49121309308662936,0.5081320096944557,1.367085798846879,0.012605861509008685,fedprox,0.01,42,20
88,1.3536275733384868,0.7627118644067796,0.4938572440914361,0.507670255950855,1.3536275733384868,0.0189852381457884,fedprox,0.01,42,20
89,1.3206999341726064,0.7637088733798604,0.49572239267789614,0.5115490442005879,1.3206999341726064,0.010766665763026975,fedprox,0.01,42,20
90,1.3477525256447873,0.7637088733798604,0.5017829987385022,0.5150241223854574,1.3477525256447873,0.006824065139749582,fedprox,0.01,42,20
91,1.3860045423060805,0.7666999002991027,0.4957046508568757,0.5066656207422776,1.3860045423060805,0.017171268292945335,fedprox,0.01,42,20
92,1.363133026797655,0.7676969092721835,0.4935553970682776,0.5129644357971749,1.363133026797655,0.008978743225354852,fedprox,0.01,42,20
93,1.3733462698438232,0.7637088733798604,0.4962300448248925,0.5123834748169278,1.3733462698438232,0.005563417026202395,fedprox,0.01,42,20
94,1.4158720217816019,0.7627118644067796,0.49688754712173916,0.5124965012838767,1.4158720217816019,0.008177269554263582,fedprox,0.01,42,20
95,1.3872154186872518,0.7637088733798604,0.4902009387957866,0.5050910507278338,1.3872154186872518,0.008623456880820415,fedprox,0.01,42,20
96,1.3699812948525487,0.7637088733798604,0.49842504374120294,0.510193755832261,1.3699812948525487,0.010873371358127723,fedprox,0.01,42,20
97,1.379908171988437,0.765702891326022,0.4953560923115958,0.507122283444364,1.379908171988437,0.004474409892648082,fedprox,0.01,42,20
98,1.4115862879653276,0.7597208374875374,0.48572108103724027,0.504309263736041,1.4115862879653276,0.008904982089195285,fedprox,0.01,42,20
99,1.4014324236248925,0.7587238285144566,0.48851508219189715,0.5047636630504443,1.4014324236248925,0.005128701536370392,fedprox,0.01,42,20
100,1.4142000559914267,0.7567298105682951,0.4866173270154535,0.4994435245865061,1.4142000559914267,0.0033800877093326407,fedprox,0.01,42,20
101,1.4574866221172147,0.7617148554336989,0.4902161871716907,0.5073455140188405,1.4574866221172147,0.0012312947680801678,fedprox,0.01,42,20
102,1.4821269493160076,0.7637088733798604,0.4939344892506485,0.5127941993458582,1.4821269493160076,0.005659727438083763,fedprox,0.01,42,20
103,1.497163045679703,0.765702891326022,0.4949501402662996,0.5028094486209846,1.497163045679703,0.002273219295118456,fedprox,0.01,42,20
104,1.4821321268975438,0.7686939182452642,0.5108108561270154,0.5196738404972143,1.4821321268975438,0.003991026979598121,fedprox,0.01,42,20
