round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
79,0.0,0.0,0.0,0.0,0.4981684981684982,0.6181818181818182,0.0,0.0,0.4558139534883721,0.44144144144144143,0.8713574982231699,0.9135618479880775,0.0,0.0,0.28188358680161957,0.0
80,0.0,0.0,0.03571428571428571,0.019230769230769232,0.4943820224719101,0.6,0.0,0.0,0.45410628019323673,0.42342342342342343,0.8708539167254764,0.9195230998509687,0.0,0.0,0.28031104178645166,0.0
81,0.0,0.0,0.037037037037037035,0.019230769230769232,0.49242424242424243,0.5909090909090909,0.0,0.0,0.475,0.5135135135135135,0.8754499640028798,0.9061102831594635,0.0,0.0,0.2899662366875481,0.0
82,0.0,0.0,0.07272727272727272,0.038461538461538464,0.47794117647058826,0.5909090909090909,0.0,0.0,0.45662100456621,0.45045045045045046,0.8722341184867951,0.910581222056632,0.0,0.0,0.2843431859825302,0.0
83,0.0,0.0,0.14173228346456693,0.17307692307692307,0.49640287769784175,0.6272727272727273,0.0,0.0,0.42857142857142855,0.43243243243243246,0.858877086494689,0.8435171385991058,0.0,0.0,0.29661417448302696,0.0
84,0.0,0.0,0.0,0.0,0.49206349206349204,0.5636363636363636,0.0,0.0,0.45614035087719296,0.46846846846846846,0.8720848056537103,0.9195230998509687,0.0,0.0,0.2788039902794001,0.0
85,0.05405405405405406,0.030303030303030304,0.09090909090909091,0.057692307692307696,0.475177304964539,0.6090909090909091,0.0,0.0,0.4065934065934066,0.3333333333333333,0.86482661004954,0.910581222056632,0.0,0.0,0.27728582892517323,0.0
86,0.0,0.0,0.0,0.0,0.5073529411764706,0.6272727272727273,0.0,0.0,0.4796747967479675,0.5315315315315315,0.8698181818181818,0.8912071535022354,0.0,0.0,0.29285877318664205,0.0
87,0.0,0.0,0.03636363636363636,0.019230769230769232,0.5112781954887218,0.6181818181818182,0.0,0.0,0.4730290456431535,0.5135135135135135,0.8736462093862816,0.9016393442622951,0.0,0.0,0.2932236350269137,0.0
88,0.1,0.06060606060606061,0.09230769230769231,0.057692307692307696,0.49193548387096775,0.5545454545454546,0.0,0.0,0.5084745762711864,0.5405405405405406,0.8698777857656362,0.9016393442622951,0.0,0.0,0.30214624394952266,0.0
89,0.046511627906976744,0.030303030303030304,0.13333333333333333,0.15384615384615385,0.48627450980392156,0.5636363636363636,0.0,0.0,0.47058823529411764,0.5405405405405406,0.864575363427697,0.842026825633383,0.0,0.0,0.3043361305656388,0.0
90,0.0,0.0,0.0,0.0,0.4979919678714859,0.5636363636363636,0.0,0.0,0.4796380090497738,0.4774774774774775,0.8729824561403509,0.9269746646795827,0.0,0.0,0.28115550082763197,0.0
91,0.0,0.0,0.0,0.0,0.4883720930232558,0.5727272727272728,0.0,0.0,0.4827586206896552,0.5045045045045045,0.8711743772241993,0.9120715350223547,0.0,0.0,0.284186187464876,0.0
